title,price,location,review
Apple iPhone 12 Pro - 128GB 256GB 512GB - Unlocked Verizon - Good Condition,"IDR9,090,757.58 to IDR10,605,909.09",United States,4 product ratings - Apple iPhone 12 Pro - 128GB 256GB 512GB - Unlocked Verizon - Good Condition
Apple iPhone 8 - 64GB 128GB 256GB - Unlocked + Verizon - Good Condition,"IDR2,121,060.61 to IDR2,651,363.64",United States,12 product ratings - Apple iPhone 8 - 64GB 128GB 256GB - Unlocked + Verizon - Good Condition
Apple iPhone 8 Plus 64/128/256GB AT&T Sprint T-Mobile Unlocked Verizon Excellent,"IDR2,727,121.21 to IDR3,181,666.67",United States,18 product ratings - Apple iPhone 8 Plus 64/128/256GB AT&T Sprint T-Mobile Unlocked Verizon Excellent
Apple iPhone 13 Pro - 256gb - Factory Sealed - Factory Warranty - UNLOCKED!,"IDR16,363,636.36",India,2 product ratings - Apple iPhone 13 Pro - 256gb - Factory Sealed - Factory Warranty - UNLOCKED!
Apple iPhone 12 Pro - 128/256/512GB - Unlocked Verizon - Excellent Condition,"IDR9,999,848.48 to IDR11,818,030.30",United States,8 product ratings - Apple iPhone 12 Pro - 128/256/512GB - Unlocked Verizon - Excellent Condition
New Sealed Apple iPhone XR 64/128GB  Factory Unlocked AU STOCK ,"IDR4,648,840.15 to IDR5,134,105.30",Australia,no review
Apple iPhone 8 Plus 64/128/256GB AT&T Sprint T-Mobile Unlocked Verizon Very Good,"IDR2,878,636.36 to IDR4,196,818.18",United States,76 product ratings - Apple iPhone 8 Plus 64/128/256GB AT&T Sprint T-Mobile Unlocked Verizon Very Good
Apple iPhone 11 - 64GB 128GB 256GB - Unlocked + Verizon - Excellent Condition,"IDR5,605,909.09 to IDR7,424,090.91",United States,37 product ratings - Apple iPhone 11 - 64GB 128GB 256GB - Unlocked + Verizon - Excellent Condition
Apple iPhone 13 Mini 128/256/512GB ATT Sprint TMobile Unlocked Verizon Very Good,"IDR7,424,090.91",United States,no review
Apple iPhone SE 1st Gen 16GB 32GB 64GB 128GB Smartphone Unlocked - Excellent,"IDR1,318,030.30",United States,44 product ratings - Apple iPhone SE 1st Gen 16GB 32GB 64GB 128GB Smartphone Unlocked - Excellent
Apple iPhone XS - 64GB 256GB 512GB - Unlocked Verizon - Very Good Condition,"IDR4,090,757.58 to IDR4,545,303.03",United States,53 product ratings - Apple iPhone XS - 64GB 256GB 512GB - Unlocked Verizon - Very Good Condition
Apple - iPhone 14 Pro -1TB - Factory Sealed - Factory Warranty - UNLOCKED!,"IDR28,015,151.52",United States,no review
Apple iPhone 13 Mini 128/256/512GB ATT Sprint TMobile Unlocked Verizon Excellent,"IDR11,211,969.70",United States,1 product rating - Apple iPhone 13 Mini 128/256/512GB ATT Sprint TMobile Unlocked Verizon Excellent
Apple iPhone 8 64GB 128GB 256GB Space Gray Silver Gold Red (Unlocked) - Good,"IDR2,045,303.03 to IDR2,424,090.91",United States,230 product ratings - Apple iPhone 8 64GB 128GB 256GB Space Gray Silver Gold Red (Unlocked) - Good
Apple iPhone 13 - 128GB 256GB 512GB - All Colors - Very Good Condition,"IDR10,075,757.58",United States,2 product ratings - Apple iPhone 13 - 128GB 256GB 512GB - All Colors - Very Good Condition
Apple iPhone SE 2nd Gen 64GB 128GB 256GB (FACTORY UNLOCKED) ✅APPLE WARNTY✅SEALED,"IDR4,681,060.61",United States,39 product ratings - Apple iPhone SE 2nd Gen 64GB 128GB 256GB (FACTORY UNLOCKED) ✅APPLE WARNTY✅SEALED
Apple iPhone SE 2nd Gen 2020 64GB | Factory Unlocked | All Colors | Excellent,"IDR2,954,393.94",United States,no review
Apple iPhone SE 16/32/64/128GB AT&T Sprint T-Mobile Unlocked Verizon Excellent,"IDR1,363,484.85",United States,341 product ratings - Apple iPhone SE 16/32/64/128GB AT&T Sprint T-Mobile Unlocked Verizon Excellent
Apple iPhone 11 Pro - 64GB 256GB 512GB - All Colors - Very Good Condition,"IDR6,166,666.67 to IDR22,727,272.73",United States,16 product ratings - Apple iPhone 11 Pro - 64GB 256GB 512GB - All Colors - Very Good Condition
Apple iPhone XR - 64GB 128GB 256GB - Unlocked Verizon - Good Condition,"IDR3,636,212.12",United States,12 product ratings - Apple iPhone XR - 64GB 128GB 256GB - Unlocked Verizon - Good Condition
Apple iPhone 12 Pro Max - 128/256/512GB - Unlocked Verizon - Excellent Condition,"IDR11,666,515.15 to IDR12,424,090.91",United States,2 product ratings - Apple iPhone 12 Pro Max - 128/256/512GB - Unlocked Verizon - Excellent Condition
Apple iPhone 12 Pro 128GB | Factory Unlocked | All Colors | Very Good,"IDR9,090,757.58",United States,28 product ratings - Apple iPhone 12 Pro 128GB | Factory Unlocked | All Colors | Very Good
Apple iPhone 13 Pro - 128GB 256GB 512GB 1TB - All Colors - Good Condition,"IDR10,833,333.33 to IDR22,727,272.73",United States,3 product ratings - Apple iPhone 13 Pro - 128GB 256GB 512GB 1TB - All Colors - Good Condition
Apple iPhone 8 - 64GB 128GB 256GB - Unlocked + Verizon - Very Good Condition,"IDR2,348,333.33 to IDR3,105,909.09",United States,no review
Apple iPhone 12 Pro Max - 128/256/512GB - Unlocked Verizon - Good Condition,"IDR10,302,878.79 to IDR11,818,030.30",United States,11 product ratings - Apple iPhone 12 Pro Max - 128/256/512GB - Unlocked Verizon - Good Condition
